'date','prize','no1','no2','no3','no4','no5'
2012-02-12,0,5,15,19,22,32
2012-02-13,0,15,27,34,36,38
2012-02-14,0,7,13,18,24,27
2012-02-15,0,4,11,27,32,38
2012-02-16,0,1,16,18,19,30
2012-02-17,0,2,32,33,35,38
2012-02-18,0,14,18,20,24,34
2012-02-19,0,8,23,29,32,37
2012-02-20,0,9,14,16,25,33
2012-02-21,0,2,23,24,37,38
2012-02-22,0,12,15,33,34,38
2012-02-23,0,4,11,29,35,37
2012-02-24,0,3,8,26,30,31
2012-02-25,0,1,3,5,11,35
2012-02-26,0,4,9,12,32,39
2012-02-27,0,10,15,17,20,30
2012-02-28,0,4,5,11,26,36
2012-02-29,0,22,28,33,36,37
2012-03-01,0,2,8,13,29,35
2012-03-02,0,8,16,25,29,30
2012-03-03,0,9,13,20,27,39
2012-03-04,0,9,15,24,30,39
2012-03-05,0,15,19,21,22,31
2012-03-06,0,2,5,7,19,22
2012-03-07,0,4,5,9,10,23
2012-03-08,0,2,10,16,32,36
2012-03-09,0,4,8,9,25,38
2012-03-10,0,1,9,11,36,38
2012-03-11,0,3,26,27,31,37
2012-03-12,0,6,15,28,29,34
2012-03-13,0,8,12,25,30,36
2012-03-14,0,9,18,19,28,33
2012-03-15,0,1,19,20,23,37
2012-03-16,0,8,19,24,29,38
2012-03-17,0,5,8,12,13,39
2012-03-18,0,1,11,12,16,33
2012-03-19,0,4,10,11,15,30
2012-03-20,0,6,12,14,30,33
2012-03-21,0,10,20,37,38,39
2012-03-22,0,4,13,22,32,37
2012-03-23,0,9,10,22,25,35
2012-03-24,0,2,4,10,13,35
2012-03-25,0,9,11,27,28,32
2012-03-26,0,6,9,12,16,23
2012-03-27,0,4,21,24,27,32
2012-03-28,0,6,11,14,24,29
2012-03-29,0,6,10,12,18,35
2012-03-30,0,3,10,15,28,37
2012-03-31,0,7,19,20,23,31
2012-04-01,0,10,23,25,28,36
2012-04-02,0,8,15,19,26,36
2012-04-03,0,2,7,14,24,32
2012-04-04,0,1,21,27,31,34
2012-04-05,0,3,8,20,33,36
2012-04-06,0,3,5,8,23,37
2012-04-07,0,7,10,25,34,35
2012-04-08,0,4,15,18,27,29
2012-04-09,0,9,14,20,22,32
2012-04-10,0,7,11,27,30,34
